Year,Category,Name,Birthdate,Birth Place,Country,Residence,Role/Affiliate,Field/Language,Prize Name,Motivation
1991,literature,Nadine Gordimer,20-Nov-23,Springs,South Africa,South Africa,No Data, English,The Nobel Prize in Literature,The Nobel Prize in Literature 1991 was awarded to Nadine Gordimer who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity.
1991,medicine,Bert Sakmann,12-Jun-42,Stuttgart,Germany,No Data," Max-Planck-Institut für medizinische Forschung, Heidelberg, Federal Republic of Germany",No Data,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1991 was awarded jointly to Erwin Neher and Bert Sakmann for their discoveries concerning the function of single ion channels in cells
1991,medicine,Erwin Neher,20-Mar-44,Landsberg,Germany,No Data," Max-Planck-Institut für Biophysikalische Chemie, Goettingen, Federal Republic of Germany",No Data,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1991 was awarded jointly to Erwin Neher and Bert Sakmann for their discoveries concerning the function of single ion channels in cells
1991,peace,Aung San Suu Kyi,19-Jun-45,Rangoon (now Yangon),Burma (now Myanmar),Burma,No Data, Human rights,The Nobel Peace Prize,The Nobel Peace Prize 1991 was awarded to Aung San Suu Kyi for her non-violent struggle for democracy and human rights.
1991,physics,Pierre-Gilles de Gennes,24-Oct-32,Paris,France,No Data," Collège de France, Paris, France", Condensed matter physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1991 was awarded to Pierre-Gilles de Gennes for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter, in particular to liquid crystals and polymers."
1992,chemistry,Rudolph A. Marcus,21-Jul-23,Montreal,Canada,No Data," California Institute of Technology (Caltech), Pasadena, CA, USA", Theoretical chemistry,The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1992 was awarded to Rudolph A. Marcus for his contributions to the theory of electron transfer reactions in chemical systems.
1992,economics,Gary S. Becker,02-Dec-30,Pottsville PA,USA,No Data," University of Chicago, Chicago, IL, USA", Microeconomics and economic sociology,The Prize in Economic Sciences,"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1992 was awarded to Gary S. Becker for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction, including nonmarket behaviour."
1992,literature,Derek Walcott,23-Jan-30,Castries,Saint Lucia,Saint Lucia,No Data, English,The Nobel Prize in Literature,"The Nobel Prize in Literature 1992 was awarded to Derek Walcott for a poetic oeuvre of great luminosity, sustained by a historical vision, the outcome of a multicultural commitment."
1992,medicine,Edmond H. Fischer,06-Apr-20,Shanghai,China,No Data," University of Washington, Seattle, WA, USA",No Data,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1992 was awarded jointly to Edmond H. Fischer and Edwin G. Krebs for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism
1992,medicine,Edwin G. Krebs,06-Jun-18,Lansing IA,USA,No Data," University of Washington, Seattle, WA, USA",No Data,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1992 was awarded jointly to Edmond H. Fischer and Edwin G. Krebs for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism
1992,peace,Rigoberta Menchú Tum,09-Jan-59,Aldea Chimel,Guatemala,Guatemala,No Data, Human rights,The Nobel Peace Prize,The Nobel Peace Prize 1992 was awarded to Rigoberta Menchú Tum in recognition of her work for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples.
1992,physics,Georges Charpak,01-Aug-24,Dabrovica,Poland,No Data," école Supérieure de Physique et Chimie, Paris, France, CERN, Geneva, Switzerland", Instrumentation,The Nobel Prize in Physics,"The Nobel Prize in Physics 1992 was awarded to Georges Charpak for his invention and development of particle detectors, in particular the multiwire proportional chamber."
1993,chemistry,Kary B. Mullis,28-Dec-44,Lenoir NC,USA,No Data,, Biochemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1993 was awarded for contributions to the developments of methods within DNA-based chemistry jointly with one half to Kary B. Mullis for his invention of the polymerase chain reaction (PCR) method and with one half to Michael Smith for his fundamental contributions to the establishment of oligonucleotide-based, site-directed mutagenesis and its development for protein studies."
1993,chemistry,Michael Smith,26-Apr-32,Blackpool,United Kingdom,No Data," University of British Columbia, Vancouver, Canada", Biochemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1993 was awarded for contributions to the developments of methods within DNA-based chemistry jointly with one half to Kary B. Mullis for his invention of the polymerase chain reaction (PCR) method and with one half to Michael Smith for his fundamental contributions to the establishment of oligonucleotide-based, site-directed mutagenesis and its development for protein studies."
1993,economics,Douglass C. North,05-Nov-20,Cambridge MA,USA,No Data," Washington University, St. Louis, MO, USA", Economic history,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1993 was awarded jointly to Robert W. Fogel and Douglass C. North for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change
1993,economics,Robert W. Fogel,01-Jul-27,New York NY,USA,No Data," University of Chicago, Chicago, IL, USA", Economic history,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1993 was awarded jointly to Robert W. Fogel and Douglass C. North for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change
1993,literature,Toni Morrison,18-Feb-31,Lorain OH,USA,USA,No Data, English,The Nobel Prize in Literature,"The Nobel Prize in Literature 1993 was awarded to Toni Morrison who in novels characterized by visionary force and poetic import, gives life to an essential aspect of American reality."
1993,medicine,Phillip A. Sharp,06-Jun-44,Falmouth KY,USA,No Data," Massachusetts Institute of Technology (MIT), Center for Cancer Research, Cambridge, MA, USA",No Data,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1993 was awarded jointly to Richard J. Roberts and Phillip A. Sharp for their discoveries of split genes
1993,medicine,Richard J. Roberts,06-Sep-43,Derby,United Kingdom,No Data," New England Biolabs, Beverly, MA, USA",No Data,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1993 was awarded jointly to Richard J. Roberts and Phillip A. Sharp for their discoveries of split genes
1993,peace,Frederik Willem de Klerk,18-Mar-36,Johannesburg,South Africa,South Africa,No Data," Negotiation, human rights",The Nobel Peace Prize,"The Nobel Peace Prize 1993 was awarded jointly to Nelson Mandela and Frederik Willem de Klerk for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa"
1993,peace,Nelson Mandela,18-Jul-18,Qunu,South Africa,South Africa,No Data," Negotiation, human rights",The Nobel Peace Prize,"The Nobel Peace Prize 1993 was awarded jointly to Nelson Mandela and Frederik Willem de Klerk for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa"
1993,physics,Joseph H. Taylor Jr.,29-Mar-41,Philadelphia PA,USA,No Data," Princeton University, Princeton, NJ, USA", Astrophysics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1993 was awarded jointly to Russell A. Hulse and Joseph H. Taylor Jr. for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation"
1993,physics,Russell A. Hulse,28-Nov-50,New York NY,USA,No Data," Princeton University, Princeton, NJ, USA", Astrophysics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1993 was awarded jointly to Russell A. Hulse and Joseph H. Taylor Jr. for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation"
1994,chemistry,George A. Olah,22-May-27,Budapest,Hungary,No Data," University of Southern California, Los Angeles, CA, USA", Organic chemistry,The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1994 was awarded to George A. Olah for his contribution to carbocation chemistry.
1994,economics,John C. Harsanyi,29-May-20,Budapest,Hungary,No Data," University of California, Berkeley, CA, USA", Game theory,The Prize in Economic Sciences,"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1994 was awarded jointly to John C. Harsanyi, John F. Nash Jr. and Reinhard Selten for their pioneering analysis of equilibria in the theory of non-cooperative games."
1994,economics,John F. Nash Jr.,13-Jun-28,Bluefield WV,USA,No Data," Princeton University, Princeton, NJ, USA", Game theory,The Prize in Economic Sciences,"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1994 was awarded jointly to John C. Harsanyi, John F. Nash Jr. and Reinhard Selten for their pioneering analysis of equilibria in the theory of non-cooperative games."
1994,economics,Reinhard Selten,05-Oct-30,Breslau (now Wroclaw),Germany (now Poland),No Data," Rheinische Friedrich-Wilhelms-Universität, Bonn, Federal Republic of Germany", Game theory,The Prize in Economic Sciences,"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1994 was awarded jointly to John C. Harsanyi, John F. Nash Jr. and Reinhard Selten for their pioneering analysis of equilibria in the theory of non-cooperative games."
1994,literature,Kenzaburo Oe,31-Jan-35,Uchiko,Japan,Japan,No Data, Japanese,The Nobel Prize in Literature,"The Nobel Prize in Literature 1994 was awarded to Kenzaburo Oe who with poetic force creates an imagined world, where life and myth condense to form a disconcerting picture of the human predicament today."
1994,medicine,Alfred G. Gilman,01-Jul-41,New Haven CT,USA,No Data," University of Texas Southwestern Medical Center at Dallas, Dallas, TX, USA",No Data,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1994 was awarded jointly to Alfred G. Gilman and Martin Rodbell for their discovery of G-proteins and the role of these proteins in signal transduction in cells
1994,medicine,Martin Rodbell,01-Dec-25,Baltimore MD,USA,No Data," National Institute of Environmental Health Sciences, Research Triangle Park, NC, USA",No Data,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1994 was awarded jointly to Alfred G. Gilman and Martin Rodbell for their discovery of G-proteins and the role of these proteins in signal transduction in cells
1994,peace,Shimon Peres,16-Aug-23,Vishneva,Poland (now Belarus),Israel, Foreign Minister of Israel, Negotiation,The Nobel Peace Prize,"The Nobel Peace Prize 1994 was awarded jointly to Yasser Arafat, Shimon Peres and Yitzhak Rabin for their efforts to create peace in the Middle East."
1994,peace,Yasser Arafat,24-Aug-29,Cairo,Egypt,Palestine," President of the Palestinian National Authority, Chairman of the Executive Committee of the PLO", Negotiation,The Nobel Peace Prize,"The Nobel Peace Prize 1994 was awarded jointly to Yasser Arafat, Shimon Peres and Yitzhak Rabin for their efforts to create peace in the Middle East."
1994,peace,Yitzhak Rabin,01-Mar-22,Jerusalem,British Mandate of Palestine (now Israel),Israel, Prime Minister of Israel, Negotiation,The Nobel Peace Prize,"The Nobel Peace Prize 1994 was awarded jointly to Yasser Arafat, Shimon Peres and Yitzhak Rabin for their efforts to create peace in the Middle East."
1994,physics,Bertram N. Brockhouse,15-Jul-18,Lethbridge Alberta,Canada,No Data," McMaster University, Hamilton, Ontario, Canada"," Condensed matter physics, instrumentation",The Nobel Prize in Physics,The Nobel Prize in Physics 1994 was awarded for pioneering contributions to the development of neutron scattering techniques for studies of condensed matter jointly with one half to Bertram N. Brockhouse for the development of neutron spectroscopy and with one half to Clifford G. Shull for the development of the neutron diffraction technique.
1994,physics,Clifford G. Shull,23-Sep-15,Pittsburgh PA,USA,No Data," Massachusetts Institute of Technology (MIT), Cambridge, MA, USA"," Condensed matter physics, instrumentation",The Nobel Prize in Physics,The Nobel Prize in Physics 1994 was awarded for pioneering contributions to the development of neutron scattering techniques for studies of condensed matter jointly with one half to Bertram N. Brockhouse for the development of neutron spectroscopy and with one half to Clifford G. Shull for the development of the neutron diffraction technique.
1995,chemistry,F. Sherwood Rowland,28-Jun-27,Delaware OH,USA,No Data," University of California, Irvine, CA, USA", Atmospheric and environmental chemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1995 was awarded jointly to Paul J. Crutzen, Mario J. Molina and F. Sherwood Rowland for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone."
1995,chemistry,Mario J. Molina,19-Mar-43,Mexico City,Mexico,No Data," Massachusetts Institute of Technology (MIT), Cambridge, MA, USA", Atmospheric and environmental chemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1995 was awarded jointly to Paul J. Crutzen, Mario J. Molina and F. Sherwood Rowland for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone."
1995,chemistry,Paul J. Crutzen,03-Dec-33,Amsterdam,the Netherlands,No Data," Max-Planck-Institut für Chemie, Mainz, Federal Republic of Germany", Atmospheric and environmental chemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1995 was awarded jointly to Paul J. Crutzen, Mario J. Molina and F. Sherwood Rowland for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone."
1995,economics,Robert E. Lucas Jr.,15-Sep-37,Yakima WA,USA,No Data," University of Chicago, Chicago, IL, USA", Macroeconomics,The Prize in Economic Sciences,"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1995 was awarded to Robert E. Lucas Jr. for having developed and applied the hypothesis of rational expectations, and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy."
1995,literature,Seamus Heaney,13-Apr-39,Casteldàwson,Northern Ireland,Ireland,No Data, English,The Nobel Prize in Literature,"The Nobel Prize in Literature 1995 was awarded to Seamus Heaney for works of lyrical beauty and ethical depth, which exalt everyday miracles and the living past."
1995,medicine,Christiane Nüsslein-Volhard,20-Oct-42,Magdeburg,Germany,No Data," Max-Planck-Institut für Entwicklungsbiologie, Tübingen, Federal Republic of Germany",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1995 was awarded jointly to Edward B. Lewis, Christiane Nüsslein-Volhard and Eric F. Wieschaus for their discoveries concerning the genetic control of early embryonic development."
1995,medicine,Edward B. Lewis,20-May-18,Wilkes-Barre PA,USA,No Data," California Institute of Technology (Caltech), Pasadena, CA, USA",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1995 was awarded jointly to Edward B. Lewis, Christiane Nüsslein-Volhard and Eric F. Wieschaus for their discoveries concerning the genetic control of early embryonic development."
1995,medicine,Eric F. Wieschaus,08-Jun-47,South Bend IN,USA,No Data," Princeton University, Princeton, NJ, USA",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1995 was awarded jointly to Edward B. Lewis, Christiane Nüsslein-Volhard and Eric F. Wieschaus for their discoveries concerning the genetic control of early embryonic development."
1995,peace,Joseph Rotblat,04-Nov-08,Warsaw,Russian Empire (now Poland),United Kingdom,No Data, Arms control and disarmament,The Nobel Peace Prize,"The Nobel Peace Prize 1995 was awarded jointly to Joseph Rotblat and Pugwash Conferences on Science and World Affairs for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms"
1995,peace,Pugwash Conferences on Science and World Affairs,1957 in Pugwash,No Data,Canada,No Data,, Arms control and disarmament,The Nobel Peace Prize,"The Nobel Peace Prize 1995 was awarded jointly to Joseph Rotblat and Pugwash Conferences on Science and World Affairs for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms"
1995,physics,Frederick Reines,16-Mar-18,Paterson NJ,USA,No Data," University of California, Irvine, CA, USA", Particle physics,The Nobel Prize in Physics,The Nobel Prize in Physics 1995 was awarded for pioneering experimental contributions to lepton physics jointly with one half to Martin L. Perl for the discovery of the tau lepton and with one half to Frederick Reines for the detection of the neutrino.
1995,physics,Martin L. Perl,24-Jun-27,New York NY,USA,No Data," Stanford University, Stanford, CA, USA", Particle physics,The Nobel Prize in Physics,The Nobel Prize in Physics 1995 was awarded for pioneering experimental contributions to lepton physics jointly with one half to Martin L. Perl for the discovery of the tau lepton and with one half to Frederick Reines for the detection of the neutrino.
1996,chemistry,Richard E. Smalley,06-Jun-43,Akron OH,USA,No Data," Rice University, Houston, TX, USA"," Organic chemistry, structural chemistry",The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1996 was awarded jointly to Robert F. Curl Jr., Sir Harold W. Kroto and Richard E. Smalley for their discovery of fullerenes."
1996,chemistry,Robert F. Curl Jr.,23-Aug-33,Alice TX,USA,No Data," Rice University, Houston, TX, USA"," Organic chemistry, structural chemistry",The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1996 was awarded jointly to Robert F. Curl Jr., Sir Harold W. Kroto and Richard E. Smalley for their discovery of fullerenes."
1996,chemistry,Sir Harold W. Kroto,07-Oct-39,Wisbech,United Kingdom,No Data," University of Sussex, Brighton, United Kingdom"," Organic chemistry, structural chemistry",The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1996 was awarded jointly to Robert F. Curl Jr., Sir Harold W. Kroto and Richard E. Smalley for their discovery of fullerenes."
1996,economics,James A. Mirrlees,05-Jul-36,Minnigaff,Scotland,No Data," University of Cambridge, Cambridge, United Kingdom", Economics of information,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1996 was awarded jointly to James A. Mirrlees and William Vickrey for their fundamental contributions to the economic theory of incentives under asymmetric information
1996,economics,William Vickrey,21-Jun-14,Victoria BC,Canada,No Data," Columbia University, New York, NY, USA", Economics of information,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1996 was awarded jointly to James A. Mirrlees and William Vickrey for their fundamental contributions to the economic theory of incentives under asymmetric information
1996,literature,Wislawa Szymborska,02-Jul-23,Bnin (now Kórnik),Poland,Poland,No Data, Polish,The Nobel Prize in Literature,The Nobel Prize in Literature 1996 was awarded to Wislawa Szymborska for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality.
1996,medicine,Peter C. Doherty,15-Oct-40,Brisbane,Australia,No Data," St. Jude Children's Research Hospital, Memphis, TN, USA",No Data,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1996 was awarded jointly to Peter C. Doherty and Rolf M. Zinkernagel for their discoveries concerning the specificity of the cell mediated immune defence
1996,medicine,Rolf M. Zinkernagel,06-Jan-44,Basel,Switzerland,No Data," University of Zurich, Institute of Experimental Immunology, Zurich, Switzerland",No Data,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1996 was awarded jointly to Peter C. Doherty and Rolf M. Zinkernagel for their discoveries concerning the specificity of the cell mediated immune defence
1996,peace,Carlos Filipe Ximenes Belo,03-Feb-48,Wailacama,East Timor,East Timor,No Data," Human rights, peace movement",The Nobel Peace Prize,The Nobel Peace Prize 1996 was awarded jointly to Carlos Filipe Ximenes Belo and José Ramos-Horta for their work towards a just and peaceful solution to the conflict in East Timor
1996,peace,José Ramos-Horta,26-Dec-49,Dili,East Timor,East Timor,No Data," Negotiation, peace movement",The Nobel Peace Prize,The Nobel Peace Prize 1996 was awarded jointly to Carlos Filipe Ximenes Belo and José Ramos-Horta for their work towards a just and peaceful solution to the conflict in East Timor
1996,physics,David M. Lee,20-Jan-31,Rye NY,USA,No Data," Cornell University, Ithaca, NY, USA", Superfluidity,The Nobel Prize in Physics,"The Nobel Prize in Physics 1996 was awarded jointly to David M. Lee, Douglas D. Osheroff and Robert C. Richardson for their discovery of superfluidity in helium-3."
1996,physics,Douglas D. Osheroff,01-Aug-45,Aberdeen WA,USA,No Data," Stanford University, Stanford, CA, USA", Superfluidity,The Nobel Prize in Physics,"The Nobel Prize in Physics 1996 was awarded jointly to David M. Lee, Douglas D. Osheroff and Robert C. Richardson for their discovery of superfluidity in helium-3."
1996,physics,Robert C. Richardson,26-Jul-37,Washington DC,USA,No Data," Cornell University, Ithaca, NY, USA", Superfluidity,The Nobel Prize in Physics,"The Nobel Prize in Physics 1996 was awarded jointly to David M. Lee, Douglas D. Osheroff and Robert C. Richardson for their discovery of superfluidity in helium-3."
1997,chemistry,Jens C. Skou,08-Oct-18,Lemvig,Denmark,No Data," Aarhus University, Aarhus, Denmark", Biochemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1997 was divided, one half jointly to Paul D. Boyer and John E. Walker for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP) and the other half to Jens C. Skou for the first discovery of an ion-transporting enzyme, Na+, K+ -ATPase."
1997,chemistry,John E. Walker,07-Jan-41,Halifax,United Kingdom,No Data," MRC Laboratory of Molecular Biology, Cambridge, United Kingdom", Biochemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1997 was divided, one half jointly to Paul D. Boyer and John E. Walker for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP) and the other half to Jens C. Skou for the first discovery of an ion-transporting enzyme, Na+, K+ -ATPase."
1997,chemistry,Paul D. Boyer,31-Jul-18,Provo UT,USA,No Data," University of California, Los Angeles, CA, USA", Biochemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1997 was divided, one half jointly to Paul D. Boyer and John E. Walker for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP) and the other half to Jens C. Skou for the first discovery of an ion-transporting enzyme, Na+, K+ -ATPase."
1997,economics,Myron S. Scholes,01-Jul-41,Timmins ON,Canada,No Data," Long Term Capital Management, Greenwich, CT, USA", Financial economics,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1997 was awarded jointly to Robert C. Merton and Myron S. Scholes for a new method to determine the value of derivatives
1997,economics,Robert C. Merton,31-Jul-49,New York NY,USA,No Data," Harvard University, Cambridge, MA, USA", Financial economics,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1997 was awarded jointly to Robert C. Merton and Myron S. Scholes for a new method to determine the value of derivatives
1997,literature,Dario Fo,24-Mar-26,Leggiuno-Sangiano,Italy,Italy,No Data, Italian,The Nobel Prize in Literature,The Nobel Prize in Literature 1997 was awarded to Dario Fo who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden.
1997,medicine,Stanley B. Prusiner,28-May-42,Des Moines IA,USA,No Data," University of California School of Medicine, San Francisco, CA, USA",No Data,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1997 was awarded to Stanley B. Prusiner for his discovery of Prions - a new biological principle of infection.
1997,peace,International Campaign to Ban Landmines (ICBL),No Data,,No Data,,No Data," Arms control and disarmament, peace movement",The Nobel Peace Prize,The Nobel Peace Prize 1997 was awarded jointly to International Campaign to Ban Landmines (ICBL) and Jody Williams for their work for the banning and clearing of anti-personnel mines
1997,peace,Jody Williams,09-Oct-50,Putney VT,USA,"Putney, VT, USA",No Data," Arms control and disarmament, peace movement",The Nobel Peace Prize,The Nobel Peace Prize 1997 was awarded jointly to International Campaign to Ban Landmines (ICBL) and Jody Williams for their work for the banning and clearing of anti-personnel mines
1997,physics,Claude Cohen-Tannoudji,01-Apr-33,Constantine,Algeria,No Data," Collège de France, Paris, France, école Normale Supérieure, Paris, France", Atomic physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1997 was awarded jointly to Steven Chu, Claude Cohen-Tannoudji and William D. Phillips for development of methods to cool and trap atoms with laser light."
1997,physics,Steven Chu,28-Feb-48,St. Louis MO,USA,No Data," Stanford University, Stanford, CA, USA", Atomic physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1997 was awarded jointly to Steven Chu, Claude Cohen-Tannoudji and William D. Phillips for development of methods to cool and trap atoms with laser light."
1997,physics,William D. Phillips,05-Nov-48,Wilkes-Barre PA,USA,No Data," National Institute of Standards and Technology, Gaithersburg, MD, USA", Atomic physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1997 was awarded jointly to Steven Chu, Claude Cohen-Tannoudji and William D. Phillips for development of methods to cool and trap atoms with laser light."
1998,chemistry,John A. Pople,31-Oct-25,Burnham-on-Sea,United Kingdom,No Data," Northwestern University, Evanston, IL, USA", Theoretical chemistry,The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1998 was divided equally between Walter Kohn for his development of the density-functional theory and John A. Pople for his development of computational methods in quantum chemistry.
1998,chemistry,Walter Kohn,09-Mar-23,Vienna,Austria,No Data," University of California, Santa Barbara, CA, USA", Theoretical chemistry,The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1998 was divided equally between Walter Kohn for his development of the density-functional theory and John A. Pople for his development of computational methods in quantum chemistry.
1998,economics,Amartya Sen,03-Nov-33,Santiniketan,India,No Data," Trinity College, Cambridge, United Kingdom", Welfare economics,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1998 was awarded to Amartya Sen for his contributions to welfare economics.
1998,literature,José Saramago,16-Nov-22,Azinhaga,Portugal,Portugal,No Data, Portuguese,The Nobel Prize in Literature,"The Nobel Prize in Literature 1998 was awarded to José Saramago who with parables sustained by imagination, compassion and irony continually enables us once again to apprehend an elusory reality."
1998,medicine,Ferid Murad,14-Sep-36,Whiting IN,USA,No Data," University of Texas Medical School at Houston, Houston, TX, USA",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1998 was awarded jointly to Robert F. Furchgott, Louis J. Ignarro and Ferid Murad for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system."
1998,medicine,Louis J. Ignarro,31-May-41,Brooklyn NY,USA,No Data," University of California School of Medicine, Los Angeles, CA, USA",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1998 was awarded jointly to Robert F. Furchgott, Louis J. Ignarro and Ferid Murad for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system."
1998,medicine,Robert F. Furchgott,04-Jun-16,Charleston SC,USA,No Data," SUNY Health Science Center, Brooklyn, NY, USA",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1998 was awarded jointly to Robert F. Furchgott, Louis J. Ignarro and Ferid Murad for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system."
1998,peace,David Trimble,15-Oct-44,Belfast,Northern Ireland,United Kingdom," MP, Leader of the Ulster Unionist Party", Negotiation,The Nobel Peace Prize,The Nobel Peace Prize 1998 was awarded jointly to John Hume and David Trimble for their efforts to find a peaceful solution to the conflict in Northern Ireland
1998,peace,John Hume,18-Jan-37,Londonderry,Northern Ireland,United Kingdom," MP, Leader of the Social Democratic and Labour Party", Negotiation,The Nobel Peace Prize,The Nobel Peace Prize 1998 was awarded jointly to John Hume and David Trimble for their efforts to find a peaceful solution to the conflict in Northern Ireland
1998,physics,Daniel C. Tsui,28-Feb-39,Henan,China,No Data," Princeton University, Princeton, NJ, USA", Condensed matter physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1998 was awarded jointly to Robert B. Laughlin, Horst L. Störmer and Daniel C. Tsui for their discovery of a new form of quantum fluid with fractionally charged excitations."
1998,physics,Horst L. Störmer,06-Apr-49,Frankfurt-on-the-Main,West Germany,No Data," Columbia University, New York, NY, USA", Condensed matter physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1998 was awarded jointly to Robert B. Laughlin, Horst L. Störmer and Daniel C. Tsui for their discovery of a new form of quantum fluid with fractionally charged excitations."
1998,physics,Robert B. Laughlin,01-Nov-50,Visalia CA,USA,No Data," Stanford University, Stanford, CA, USA", Condensed matter physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1998 was awarded jointly to Robert B. Laughlin, Horst L. Störmer and Daniel C. Tsui for their discovery of a new form of quantum fluid with fractionally charged excitations."
1999,chemistry,Ahmed H. Zewail,26-Feb-46,Damanhur,Egypt,No Data," California Institute of Technology (Caltech), Pasadena, CA, USA"," Physical chemistry, chemical kinetics",The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1999 was awarded to Ahmed Zewail for his studies of the transition states of chemical reactions using femtosecond spectroscopy.
