number,name,symbol,name_symbol,pronunciation,appearance,atomic_number,group_block,period,element_category,atomic_weight,electron_configuration,per_shell,color,phase,melting_point,boiling_point,density_at_stp,when_liquid_at_mp,when_liquid_at_bp,triple_point,critical_point,heat_of_fusion,heat_of_vaporization,molar_heat_capacity,p_(pa),oxidation_states,electronegativity,ionization_energies,covalent_radius,van_der_waals_radius,crystal_structure,speed_of_sound,thermal_conductivity,magnetic_ordering,cas_number,discovery,named_by,iso,at_t_(k),naming,first_isolation,density_near_rt,atomic_radius,speed_of_sound_thin_rod,thermal_expansion,electrical_resistivity,youngs_modulus,shear_modulus,bulk_modulus,mohs_hardness,brinell_hardness,poisson_ratio,vickers_hardness,allotropes,density_when_liquid_at_mp,sublimation_point,recognized_as_an_element_by,heat_of_vaporisation,ionisation_energies,prediction,discovery_and_first_isolation,alternative_name,band_gap,recognised_as_an_element_by,curie_point,recognized_as_a_unique_metal_by,recognized_as_a_distinct_element_by,thermal_diffusivity,tensile_strength,molar_volume,proposed_formal_name,alternative_names
62,Samarium,Sm,"samarium, Sm","/s??m??ri?m/, s?-MAIR-ee-?m",silvery white,62,"group n/a, f-block",6,lanthanide,150.362,[Xe] 4f6 6s2,2,,solid,1345,2173,,7.16,,,,8.62,192,29.54,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1001, 1106, 1240, (1421), (1675), (2061)",4,Pauling scale: 1.17,"1st: 544.5 kJ/mol, 2nd: 1070 kJ/mol, 3rd: 2260 kJ/mol",198±8 pm,,rhombohedral,,13.3,paramagnetic,7440-19-9,,,"iso, NA, half-life, DM, DE (MeV), DP, 144Sm, 3.08%, 144Sm is stable with 82 neutrons, 145Sm, syn, 340 d, ?, –, 145Pm, 146Sm, syn, 6.8×107 y, ?, 2.529, 142Nd, 147Sm, 15.00%, 1.06×1011 y, ?, 2.310, 143Nd, 148Sm, 11.25%, 7×1015 y, ?, 1.986, 144Nd, 149Sm, 13.82%, 149Sm is stable with 87 neutrons, 150Sm, 7.37%, 150Sm is stable with 88 neutrons, 151Sm, syn, 90 y, ??, –, 151Eu, 152Sm, 26.74%, 152Sm is stable with 90 neutrons, 153Sm, syn, 46.284 h, ??, –, 153Eu, 154Sm, 22.74%, 154Sm is stable with 92 neutrons",1001,after the mineral samarskite (itself named after Vasili Samarsky-Bykhovets),,7.52,empirical: 180 pm,2130,"(r.t.) (?, poly) 12.7 µm/(m·K)","(r.t.) (?, poly) 0.940 µ?·m",? form: 49.7 GPa,? form: 19.5 GPa,? form: 37.8 GPa,,440–600 MPa,? form: 0.274,410–440 MPa,? form,,,,,,,Lecoq de Boisbaudran (1879),,,,,,,,,,,
63,Europium,Eu,"europium, Eu","/j??ro?pi?m/, ew-ROH-pee-?m","silvery white, with a pale yellow tint; but rarely seen without oxide discoloration",63,"group n/a, f-block",6,lanthanide,151.9641,[Xe] 4f7 6s2,2,,solid,1099,1802,,5.13,,,,9.21,176,27.66,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 863, 957, 1072, 1234, 1452, 1796",3,Pauling scale: 1.2,"1st: 547.1 kJ/mol, 2nd: 1085 kJ/mol, 3rd: 2404 kJ/mol",198±6 pm,,body-centered cubic (bcc),,est. 13.9 W/(m·K),paramagnetic,7440-53-1,,,"iso, NA, half-life, DM, DE (MeV), DP, 150Eu, syn, 36.9 y, ?, 2.261, 150Sm, 151Eu, 47.8%, 5×1018 y, ?, 1.9644, 147Pm, 152Eu, syn, 13.54 y, ?, 1.874, 152Sm, ??, 1.819, 152Gd, 153Eu, 52.2%, 153Eu is stable with 90 neutrons, 154Eu, syn, 8.59 y, ??, 1.969, 154Gd, 155Eu, syn, 4.76 y, ??, 0.253, 155Gd",863,after Europe,,5.264,empirical: 180 pm,,poly: 35.0 µm/(m·K) (at r.t.),poly: 0.900 µ?·m (at r.t.),18.2,7.9,8.3,,,0.152,165–200 MPa,,,,,,,,"Eugène-Anatole Demarçay (1896, 1901)",,,,,,,,,,,
64,Gadolinium,Gd,"gadolinium, Gd","/??æd??l?ni?m/, GAD-?-LIN-ee-?m",silvery white,64,"group n/a, f-block",6,lanthanide,157.253,[Xe] 4f7 5d1 6s2,2,,solid,1585,3273,,7.4,,,,10.05,301.3,37.03,"vapor pressure (calculated), P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1836, 2028, 2267, 2573, 2976, 3535",1,Pauling scale: 1.20,"1st: 593.4 kJ/mol, 2nd: 1170 kJ/mol, 3rd: 1990 kJ/mol",196±6 pm,,hexagonal close-packed (hcp),,10.6,ferromagnetic-paramagnetic transition at 293.4 K,7440-54-2,Jean Charles Galissard de Marignac (1880),,"iso, NA, half-life, DM, DE (MeV), DP, 148Gd, syn, 75 y, ?, 3.271, 144Sm, 150Gd, syn, 1.8×106 y, ?, 2.808, 146Sm, 152Gd, 0.20%, 1.08×1014 y, ?, 2.205, 148Sm, 154Gd, 2.18%, 154Gd is stable with 90 neutrons, 155Gd, 14.80%, 155Gd is stable with 91 neutrons, 156Gd, 20.47%, 156Gd is stable with 92 neutrons, 157Gd, 15.65%, 157Gd is stable with 93 neutrons, 158Gd, 24.84%, 158Gd is stable with 94 neutrons, 160Gd, 21.86%, 160Gd is stable with 96 neutrons",1836,after the mineral Gadolinite (itself named after Johan Gadolin),Lecoq de Boisbaudran (1886),7.9,empirical: 180 pm,2680,? poly: 9.4 µm/(m·K) (at 100 °C),"?, poly: 1.310 µ?·m",? form: 54.8 GPa,? form: 21.8 GPa,? form: 37.9 GPa,,,? form: 0.259,510–950 MPa,,,,,,,,,,,,,,,,,,,
65,Terbium,Tb,"terbium, Tb","/?t??rbi?m/, TUR-bee-?m",silvery white,65,"group n/a, f-block",6,lanthanide,158.925352,[Xe] 4f9 6s2,2,,solid,1629,3396,,7.65,,,,10.15,391,28.91,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1789, 1979, (2201), (2505), (2913), (3491)",4,Pauling scale: 1.2 (?),"1st: 565.8 kJ/mol, 2nd: 1110 kJ/mol, 3rd: 2114 kJ/mol",194±5 pm,,hexagonal close-packed (hcp),,11.1,paramagnetic at 300 K,7440-27-9,,,"iso, NA, half-life, DM, DE (MeV), DP, 157Tb, syn, 71 y, ?, 0.060, 157Gd, 158Tb, syn, 180 y, ?, 1.220, 158Gd, ??, 0.937, 158Dy, 159Tb, 100%, 159Tb is stable with 94 neutrons",1789,"after Ytterby (Sweden), where it was mined",,8.23,empirical: 177 pm,2620,"at r.t. ?, poly: 10.3 µm/(m·K)","?, poly: 1.150 µ?·m (at r.t.)",? form: 55.7 GPa,? form: 22.1 GPa,? form: 38.7 GPa,,675–1200 MPa,? form: 0.261,450–865 MPa,,,,,,,,Carl Gustaf Mosander (1842),,,,,,,,,,,
66,Dysprosium,Dy,"dysprosium, Dy","/d?s?pro?zi?m/, dis-PROH-zee-?m",silvery white,66,"group n/a, f-block",6,lanthanide,162.5001,[Xe] 4f10 6s2,2,,solid,1680,2840,,8.37,,,,11.06,280,27.7,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1378, 1523, (1704), (1954), (2304), (2831)",4,Pauling scale: 1.22,"1st: 573.0 kJ/mol, 2nd: 1130 kJ/mol, 3rd: 2200 kJ/mol",192±7 pm,,hexagonal close-packed (hcp),,10.7,paramagnetic at 300 K,7429-91-6,Lecoq de Boisbaudran (1886),,"iso, NA, half-life, DM, DE (MeV), DP, 154Dy, syn, 3.0×106 y, ?, 2.947, 150Gd, 156Dy, 0.056%, 156Dy is stable with 90 neutrons, 158Dy, 0.095%, 158Dy is stable with 92 neutrons, 160Dy, 2.329%, 160Dy is stable with 94 neutrons, 161Dy, 18.889%, 161Dy is stable with 95 neutrons, 162Dy, 25.475%, 162Dy is stable with 96 neutrons, 163Dy, 24.896%, 163Dy is stable with 97 neutrons, 164Dy, 28.260%, 164Dy is stable with 98 neutrons",1378,,,8.54,empirical: 178 pm,2710,"?, poly: 9.9 µm/(m·K) (r.t.)","?, poly: 926 n?·m (r.t.)",? form: 61.4 GPa,? form: 24.7 GPa,? form: 40.5 GPa,,500–1050 MPa,? form: 0.247,410–550 MPa,,,,,,,,,,,,,,,,,,,
67,Holmium,Ho,"holmium, Ho","/?ho?lmi?m/, HOHL-mee-?m",silvery white,67,"group n/a, f-block",6,lanthanide,164.930332,[Xe] 4f11 6s2,2,,solid,1734,2873,,8.34,,,,17,251,27.15,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1432, 1584, (1775), (2040), (2410), (2964)",3,Pauling scale: 1.23,"1st: 581.0 kJ/mol, 2nd: 1140 kJ/mol, 3rd: 2204 kJ/mol",192±7 pm,,hexagonal close-packed (hcp),,16.2,paramagnetic,7440-60-0,Marc Delafontaine (1878),,"iso, NA, half-life, DM, DE (MeV), DP, 163Ho, syn, 4570 y, ?, 0.003, 163Dy, 164Ho, syn, 29 min, ?, 0.987, 164Dy, 165Ho, 100%, 165Ho is stable with 98 neutrons, 166Ho, syn, 26.763 h, ??, 1.855, 166Er, 167Ho, syn, 3.1 h, ??, 1.007, 167Er",1432,,,8.79,empirical: 176 pm,2760,poly: 11.2 µm/(m·K) (at r.t.),poly: 814 n?·m (at r.t.),64.8,26.3,40.2,,500–1250 MPa,0.231,410–600 MPa,,,,,,,,,,,,,,,,,,,
68,Erbium,Er,"erbium, Er","/???rbi?m/, UR-bee-?m",silvery white,68,"group n/a, f-block",6,lanthanide,167.2593,[Xe] 4f12 6s2,2,,solid,1802,3141,,8.86,,,,19.9,280,28.12,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1504, 1663, (1885), (2163), (2552), (3132)",3,Pauling scale: 1.24,"1st: 589.3 kJ/mol, 2nd: 1150 kJ/mol, 3rd: 2194 kJ/mol",189±6 pm,,hexagonal close-packed (hcp),,14.5,paramagnetic at 300 K,7440-52-0,Carl Gustaf Mosander (1842),,"iso, NA, half-life, DM, DE (MeV), DP, 160Er, syn, 28.58 h, ?, 0.330, 160Ho, 162Er, 0.139%, 162Er is stable with 94 neutrons, 164Er, 1.601%, 164Er is stable with 96 neutrons, 165Er, syn, 10.36 h, ?, 0.376, 165Ho, 166Er, 33.503%, 166Er is stable with 98 neutrons, 167Er, 22.869%, 167Er is stable with 99 neutrons, 168Er, 26.978%, 168Er is stable with 100 neutrons, 169Er, syn, 9.4 d, ??, 0.351, 169Tm, 170Er, 14.910%, 170Er is stable with 102 neutrons, 171Er, syn, 7.516 h, ??, 1.490, 171Tm, 172Er, syn, 49.3 h, ??, 0.891, 172Tm",1504,"after Ytterby (Sweden), where it was mined",,9.066,empirical: 176 pm,2830,poly: 12.2 µm/(m·K) (r.t.),poly: 0.860 µ?·m (r.t.),69.9,28.3,44.4,,600–1070 MPa,0.237,430–700 MPa,,,,,,,,,,,,,,,,,,,
69,Thulium,Tm,"thulium, Tm","/??ju?li?m/ or /??u?li?m/, THEW-lee-?m or THOO-lee-?m",silvery gray,69,"group n/a, f-block",6,lanthanide,168.934222,[Xe] 4f13 6s2,2,,solid,1818,2223,,8.56,,,,16.84,191,27.03,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1117, 1235, 1381, 1570, (1821), (2217)",2,Pauling scale: 1.25,"1st: 596.7 kJ/mol, 2nd: 1160 kJ/mol, 3rd: 2285 kJ/mol",190±10 pm,,hexagonal close-packed (hcp),,16.9,paramagnetic (at 300 K),7440-30-4,,,"iso, NA, half-life, DM, DE (MeV), DP, 167Tm, syn, 9.25 d, ?, 0.748, 167Er, 168Tm, syn, 93.1 d, ?, 1.679, 168Er, 169Tm, 100%, 169Tm is stable with 100 neutrons, 170Tm, syn, 128.6 d, ??, 0.968, 170Yb, 171Tm, syn, 1.92 y, ??, 0.096, 171Yb",1117,"after Thule, a mythical region in Scandinavia",,9.32,empirical: 176 pm,,poly: 13.3 µm/(m·K) (at r.t.),poly: 676 n?·m (at r.t.),74,30.5,44.5,,470–900 MPa,0.213,470–650 MPa,,,,,,,,Per Teodor Cleve (1879),,,,,,,,,,,
70,Ytterbium,Yb,"ytterbium, Yb","/??t??rbi?m/, i-TUR-bee-?m",silvery white; with a pale yellow tint,70,"group n/a, f-block",6,lanthanide,173.0451,[Xe] 4f14 6s2,2,,solid,1097,1469,,6.21,,,,7.66,129,26.74,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 736, 813, 910, 1047, (1266), (1465)",3,Pauling scale: 1.1 (?),"1st: 603.4 kJ/mol, 2nd: 1174.8 kJ/mol, 3rd: 2417 kJ/mol",187±8 pm,,face-centered cubic (fcc),,38.5,paramagnetic,7440-64-4,Jean Charles Galissard de Marignac (1878),,"iso, NA, half-life, DM, DE (MeV), DP, 166Yb, syn, 56.7 h, ?, 0.304, 166Tm, 168Yb, 0.126%, 168Yb is stable with 98 neutrons, 169Yb, syn, 32.026 d, ?, 0.909, 169Tm, 170Yb, 3.023%, 170Yb is stable with 100 neutrons, 171Yb, 14.216%, 171Yb is stable with 101 neutrons, 172Yb, 21.754%, 172Yb is stable with 102 neutrons, 173Yb, 16.098%, 173Yb is stable with 103 neutrons, 174Yb, 31.896%, 174Yb is stable with 104 neutrons, 175Yb, syn, 4.185 d, ??, 0.470, 175Lu, 176Yb, 12.887%, 176Yb is stable with 106 neutrons, 177Yb, syn, 1.911 h, ??, 1.399, 177Lu",736,"after Ytterby (Sweden), where it was mined",Georges Urbain (1907),6.9,empirical: 176 pm,1590,"?, poly: 26.3 µm/(m·K) (r.t.)","?, poly: 0.250 µ?·m (at r.t.)",? form: 23.9 GPa,? form: 9.9 GPa,? form: 30.5 GPa,,340–440 MPa,? form: 0.207,205–250 MPa,,,,,,,,,,,,,,,,,,,
71,Lutetium,Lu,"lutetium, Lu","/lju??ti??i?m/, lew-TEE-shee-?m",silvery white,71,"group n/a, d-block",6,"lanthanide, sometimes considered a transition metal",174.96681,[Xe] 6s2 4f14 5d1,2,,solid,1925,3675,,9.3,,,,ca. 22 kJ/mol,414,26.86,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1906, 2103, 2346, (2653), (3072), (3663)",3,Pauling scale: 1.27,"1st: 523.5 kJ/mol, 2nd: 1340 kJ/mol, 3rd: 2022.3 kJ/mol",187±8 pm,,hexagonal close-packed (hcp),,16.4,paramagnetic,7439-94-3,,Georges Urbain (1906),"iso, NA, half-life, DM, DE (MeV), DP, 173Lu, syn, 1.37 y, ?, 0.671, 173Yb, 174Lu, syn, 3.31 y, ?, 1.374, 174Yb, 175Lu, 97.401%, 175Lu is stable with 104 neutrons, 176Lu, 2.599%, 3.78×1010 y, ??, 1.193, 176Hf",1906,"after Lutetia, Latin for: Paris, in the Roman era",,9.841,empirical: 174 pm,,poly: 9.9 µm/(m·K) (at r.t.),poly: 582 n?·m (at r.t.),68.6,27.2,47.6,,890–1300 MPa,0.261,755–1160 MPa,,,,,,,,Carl Auer von Welsbach (1906),,,,,,,,,,,
72,Hafnium,Hf,"hafnium, Hf","/?hæfni?m/, HAF-nee-?m",steel gray,72,"group 4, d-block",6,transition metal,178.492,[Xe] 4f14 5d2 6s2,2,,solid,2506,4876,,12,,,,27.2,648,25.73,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 2689, 2954, 3277, 3679, 4194, 4876",4,Pauling scale: 1.3,"1st: 658.5 kJ/mol, 2nd: 1440 kJ/mol, 3rd: 2250 kJ/mol",175±10 pm,,hexagonal close-packed (hcp),,23,paramagnetic,7440-58-6,,,"iso, NA, half-life, DM, DE (MeV), DP, 172Hf, syn, 1.87 y, ?, 0.350, 172Lu, 174Hf, 0.16%, 2×1015 y, ?, 2.495, 170Yb, 176Hf, 5.26%, 176Hf is stable with 104 neutrons, 177Hf, 18.60%, 177Hf is stable with 105 neutrons, 178Hf, 27.28%, 178Hf is stable with 106 neutrons, 178m2Hf, syn, 31 y, IT, 2.446, 178Hf, 179Hf, 13.62%, 179Hf is stable with 107 neutrons, 180Hf, 35.08%, 180Hf is stable with 108 neutrons, 182Hf, syn, 8.9×106 y, ??, 0.373, 182Ta",2689,"after Hafnia. Latin for: Copenhagen, where it was discovered",,13.31,empirical: 159 pm,3010,5.9,331,78,30,110,5.5,1450–2100 MPa,0.37,1520–2060 MPa,,,,,,,Dmitri Mendeleev (1869),Dirk Coster and George de Hevesy (1922),,,,,,,,,,,
73,Tantalum,Ta,"tantalum, Ta","/?tænt?l?m/, TAN-t?l-?m, previously: /tæn?tæli?m/, tan-TAL-ee-?m",gray blue,73,"group 5, d-block",6,transition metal,180.947882,[Xe] 4f14 5d3 6s2,2,,solid,3290,5731,,15,,,,36.57,753,25.36,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 3297, 3597, 3957, 4395, 4939, 5634",5,Pauling scale: 1.5,"1st: 761 kJ/mol, 2nd: 1500 kJ/mol",170±8 pm,,"tetragonal, ?-Ta",,57.5,paramagnetic,7440-25-7,Anders Gustaf Ekeberg (1802),,"iso, NA, half-life, DM, DE (MeV), DP, 177Ta, syn, 56.56 h, ?, 1.166, 177Hf, 178Ta, syn, 2.36 h, ?, 1.910, 178Hf, 179Ta, syn, 1.82 y, ?, 0.110, 179Hf, 180Ta, syn, 8.125 h, ?, 0.854, 180Hf, ??, 0.708, 180W, 180mTa, 0.012%, 180mTa is stable with 107 neutrons, 181Ta, 99.988%, 181Ta is stable with 108 neutrons, 182Ta, syn, 114.43 d, ??, 1.814, 182W, 183Ta, syn, 5.1 d, ??, 1.070, 183W",3297,,,16.69,empirical: 146 pm,3400,6.3,131,186,69,200,6.5,440–3430 MPa,0.34,870–1200 MPa,,,,,,,,,,,,,,Heinrich Rose (1844),,,,,
74,Tungsten,W,"tungsten, W","/?t??st?n/; /?w?lfr?m/, TUNG-st?n; WUUL-fr?m","grayish white, lustrous",74,"group 6, d-block",6,transition metal,183.841,[Xe] 4f14 5d4 6s2,2,,solid,3695,6203,,17.6,,,,35.3,774,24.27,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 3477, 3773, 4137, 4579, 5127, 5823",6,Pauling scale: 2.36,"1st: 770 kJ/mol, 2nd: 1700 kJ/mol",162±7 pm,,body-centered cubic (bcc),,173,paramagnetic,7440-33-7,Carl Wilhelm Scheele (1781),Torbern Bergman (1781),"iso, NA, half-life, DM, DE (MeV), DP, 180W, 0.12%, 1.8×1018 y, ?, 2.516, 176Hf, 181W, syn, 121.2 d, ?, 0.188, 181Ta, 182W, 26.50%, 182W is stable with 108 neutrons, 183W, 14.31%, 183W is stable with 110 neutrons, 184W, 30.64%, 184W is stable with 111 neutrons, 185W, syn, 75.1 d, ??, 0.433, 185Re, 186W, 28.43%, 186W is stable with 112 neutrons",3477,,Juan José Elhuyar and Fausto Elhuyar (1783),19.25,empirical: 139 pm,4620,4.5,52.8,411,161,310,7.5,2000–4000 MPa,0.28,3430–4600 MPa,,,,,,,,,wolfram,,,,,,,,,,
75,Rhenium,Re,"rhenium, Re","/?ri?ni?m/, REE-nee-?m",silvery-grayish,75,"group 7, d-block",6,transition metal,186.2071,[Xe] 4f14 5d5 6s2,2,,solid,3459,5903,,18.9,,,,60.43,704,25.48,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 3303, 3614, 4009, 4500, 5127, 5954",7,Pauling scale: 1.9,"1st: 760 kJ/mol, 2nd: 1260 kJ/mol, 3rd: 2510 kJ/mol, (more)",151±7 pm,,hexagonal close-packed (hcp),,48,paramagnetic,7440-15-5,Masataka Ogawa (1908),"Walter Noddack, Ida Noddack, Otto Berg (1922)","iso, NA, half-life, DM, DE (MeV), DP, 185Re, 37.4%, 185Re is stable with 110 neutrons, 187Re, 62.6%, 4.12×1010 y, ??, 0.0026, 187Os",3303,after the river Rhine (German: Rhein),Masataka Ogawa (1919),21.02,empirical: 137 pm,4700,6.2,193,463,178,370,7,1320–2500 MPa,0.3,1350–7850 MPa,,,,,,,,,,,,,,,,,,,
76,Osmium,Os,"osmium, Os","/??zmi?m/, OZ-mee-?m","silvery, blue cast",76,"group 8, d-block",6,transition metal,190.233,[Xe] 4f14 5d6 6s2,2,,solid,3306,5285,,20,,,,31,378,24.7,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 3160, 3423, 3751, 4148, 4638, 5256",8,Pauling scale: 2.2,"1st: 840 kJ/mol, 2nd: 1600 kJ/mol",144±4 pm,,hexagonal close-packed (hcp),,87.6,paramagnetic,7440-04-2,,,"iso, NA, half-life, DM, DE (MeV), DP, 184Os, 0.02%, 184Os is stable with 108 neutrons, 185Os, syn, 93.6 d, ?, 1.013, 185Re, 186Os, 1.59%, 2.0×1015 y, ?, 2.822, 182W, 187Os, 1.96%, 187Os is stable with 111 neutrons, 188Os, 13.24%, 188Os is stable with 112 neutrons, 189Os, 16.15%, 189Os is stable with 113 neutrons, 190Os, 26.26%, 190Os is stable with 114 neutrons, 191Os, syn, 15.4 d, ??, 0.314, 191Ir, 192Os, 40.78%, 192Os is stable with 116 neutrons, 193Os, syn, 30.11 d, ??, 1.141, 193Ir, 194Os, syn, 6 y, ??, 0.097, 194Ir",3160,,,22.59,empirical: 135 pm,4940,5.1,81.2,,222,462,7,3490–4000 MPa,0.25,,,,,,,,,Smithson Tennant (1803),,,,,,,,,,,
77,Iridium,Ir,"iridium, Ir","/??r?di?m/, i-RID-ee-?m",silvery white,77,"group 9, d-block",6,transition metal,192.2173,[Xe] 4f14 5d7 6s2,2,,solid,2719,4403,,19,,,,41.12,564,25.1,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 2713, 2957, 3252, 3614, 4069, 4659","?3, ?1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9",Pauling scale: 2.20,"1st: 880 kJ/mol, 2nd: 1600 kJ/mol",141±6 pm,,face-centered cubic (fcc),,147,paramagnetic,7439-88-5,,,"iso, NA, half-life, DM, DE (MeV), DP, 188Ir, syn, 1.73 d, ?, 1.64, 188Os, 189Ir, syn, 13.2 d, ?, 0.532, 189Os, 190Ir, syn, 11.8 d, ?, 2.000, 190Os, 191Ir, 37.3%, 191Ir is stable with 114 neutrons, 192Ir, syn, 73.827 d, ??, 1.460, 192Pt, ?, 1.046, 192Os, 192m2Ir, syn, 241 y, IT, 0.161, 192Ir, 193Ir, 62.7%, 193Ir is stable with 116 neutrons, 193mIr, syn, 10.5 d, IT, 0.080, 193Ir, 194Ir, syn, 19.3 h, ??, 2.247, 194Pt, 194m2Ir, syn, 171 d, IT, –, 194Ir",2713,,,22.56,empirical: 136 pm,4825,6.4,47.1,528,210,320,6.5,1670,0.26,1760–2200 MPa,,,,,,,,Smithson Tennant (1803),,,,,,,,,,,
78,Platinum,Pt,"platinum, Pt","/?plæt?n?m/, PLAT-i-n?m",silvery white,78,"group 10, d-block",6,transition metal,195.0849,[Xe] 4f14 5d9 6s1,2,,solid,2041.4,4098,,19.77,,,,22.17,510,25.86,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 2330, (2550), 2815, 3143, 3556, 4094",6,Pauling scale: 2.28,"1st: 870 kJ/mol, 2nd: 1791 kJ/mol",136±5 pm,175,face-centered cubic (fcc),,71.6,paramagnetic,7440-06-4,,,"iso, NA, half-life, DM, DE (MeV), DP, 190Pt, 0.012%, 6.5×1011 y, ?, 3.252, 186Os, 192Pt, 0.782%, 192Pt is stable with 114 neutrons, 193Pt, syn, 50 y, ?, –, 193Ir, 194Pt, 32.864%, 194Pt is stable with 116 neutrons, 195Pt, 33.775%, 195Pt is stable with 117 neutrons, 196Pt, 25.211%, 196Pt is stable with 118 neutrons, 198Pt, 7.356%, 198Pt is stable with 120 neutrons",2330,,,21.45,empirical: 139 pm,2800,8.8,105,168,61,230,3.5,300–500 MPa,0.38,400–550 MPa,,,,,,,,Antonio de Ulloa (1748),,,,,,,,125–240 MPa,,,
79,Gold,Au,"gold, Au","/??o?ld/, GOHLD",metallic yellow,79,"group 11, d-block",6,transition metal,196.9665695,[Xe] 4f14 5d10 6s1,2,,solid,1337.33,3243,,17.31,,,,12.55,342,25.418,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1646, 1814, 2021, 2281, 2620, 3078",5,Pauling scale: 2.54,"1st: 890.1 kJ/mol, 2nd: 1980 kJ/mol",136±6 pm,166,face-centered cubic (fcc),,318,diamagnetic,7440-57-5,In the Middle East (before 6000 BCE),,"iso, NA, half-life, DM, DE (MeV), DP, 195Au, syn, 186.10 d, ?, 0.227, 195Pt, 196Au, syn, 6.183 d, ?, 1.506, 196Pt, ??, 0.686, 196Hg, 197Au, 100%, 197Au is stable with 118 neutrons, 198Au, syn, 2.69517 d, ??, 1.372, 198Hg, 199Au, syn, 3.169 d, ??, 0.453, 199Hg",1646,"from Latin aurum, meaning gold",,19.3,empirical: 144 pm,2030,14.2,22.14,79,27,180,2.5,188–245 MPa,0.4,188–216 MPa,,,,,,,,,,,,,,,,120,,,
80,Mercury,Hg,"mercury, Hg","/?m??rkj?ri/, MER-ky?-ree",silvery,80,"group 12, d-block",6,"transition metal, alternatively considered a post-transition metal",200.5923,[Xe] 4f14 5d10 6s2,2,,liquid,234.321,629.88,,,,234.3156,1750,2.29,59.11,27.983,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 315, 350, 393, 449, 523, 629",2,Pauling scale: 2.00,"1st: 1007.1 kJ/mol, 2nd: 1810 kJ/mol, 3rd: 3300 kJ/mol",132±5 pm,155,rhombohedral,liquid: 1451.4 m/s (at 20 °C),8.3,diamagnetic,7439-97-6,Ancient Chinese and Indians (before 2000 BCE),,"iso, NA, half-life, DM, DE (MeV), DP, 194Hg, syn, 444 y, ?, 0.040, 194Au, 195Hg, syn, 9.9 h, ?, 1.510, 195Au, 196Hg, 0.15%, 196Hg is stable with 116 neutrons, 197Hg, syn, 64.14 h, ?, 0.600, 197Au, 198Hg, 10.04%, 198Hg is stable with 118 neutrons, 199Hg, 16.94%, 199Hg is stable with 119 neutrons, 200Hg, 23.14%, 200Hg is stable with 120 neutrons, 201Hg, 13.17%, 201Hg is stable with 121 neutrons, 202Hg, 29.74%, 202Hg is stable with 122 neutrons, 203Hg, syn, 46.612 d, ??, 0.492, 203Tl, 204Hg, 6.82%, 204Hg is stable with 124 neutrons",315,,,13.534,empirical: 151 pm,,60.4,961,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Thallium,Tl,"thallium, Tl","/??æli?m/, THAL-ee-?m",silvery white,81,"group 13, p-block",6,post-transition metal,204.38,[Xe] 4f14 5d10 6s2 6p1,2,,solid,577,1746,,11.22,,,,4.14,165,26.32,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 882, 977, 1097, 1252, 1461, 1758",3,Pauling scale: 1.62,"1st: 589.4 kJ/mol, 2nd: 1971 kJ/mol, 3rd: 2878 kJ/mol",145±7 pm,196,hexagonal close-packed (hcp),,46.1,diamagnetic,7440-28-0,William Crookes (1861),,"iso, NA, half-life, DM, DE (MeV), DP, 203Tl, 29.5%, 203Tl is stable with 122 neutrons, 204Tl, syn, 3.78 y, ??, 0.764, 204Pb, ?, 0.347, 204Hg, 205Tl, 70.5%, 205Tl is stable with 124 neutrons",882,,Claude-Auguste Lamy (1862),11.85,empirical: 170 pm,818,29.9,0.18,8,2.8,43,1.2,26.5–44.7 MPa,0.45,,,,,,,,,,,,,,,,,,,,
